0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:13:38 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:14:09 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:14:24 +0900] "GET /LAB6_1/news.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:14:45 +0900] "GET /LAB6_1/news.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:15:18 +0900] "GET /LAB6_1/news.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:15:37 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:16:35 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:16:45 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2638
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:18:05 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2633
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:19:33 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:20:11 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:20:31 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:21:55 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:22:04 +0900] "GET /LAB6_1/news.jsp HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:22:25 +0900] "GET /LAB6_1/news.jsp HTTP/1.1" 200 410
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:23:11 +0900] "GET /LAB6_1/news.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:23:19 +0900] "GET /LAB6_1/news.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:23:26 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:24:00 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:24:17 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:24:39 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:25:33 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:26:34 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:26:51 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:27:03 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:27:25 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:27:35 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:27:46 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [14/Oct/2021:17:27:58 +0900] "GET /LAB6_1/include.jsp HTTP/1.1" 200 2614
0:0:0:0:0:0:0:1 - - [14/Oct/2021:18:10:03 +0900] "GET /LAB6_2/notice.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [14/Oct/2021:18:10:17 +0900] "GET /LAB6_2/notice.jsp HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [14/Oct/2021:18:10:17 +0900] "GET /LAB6_2/image/background.jpg HTTP/1.1" 200 68756
0:0:0:0:0:0:0:1 - - [14/Oct/2021:18:10:17 +0900] "GET /LAB6_2/image/congrats.png HTTP/1.1" 200 229414
